subjectId,subjectName,note,domains
13,Biology,,[]
14,网院,,[]
15,地理学,1门课程,[]
16,人工构建,人工构建,[]
17,法学,1门课程,[]
18,初中课程,初中课程,"[{'domainId': 417, 'domainName': '七年级语文', 'subjectId': 18, 'domainGrade': None}, {'domainId': 418, 'domainName': '八年级语文', 'subjectId': 18, 'domainGrade': None}, {'domainId': 419, 'domainName': '九年级语文', 'subjectId': 18, 'domainGrade': None}, {'domainId': 420, 'domainName': '七年级数学', 'subjectId': 18, 'domainGrade': None}, {'domainId': 421, 'domainName': '八年级数学', 'subjectId': 18, 'domainGrade': None}, {'domainId': 422, 'domainName': '九年级数学', 'subjectId': 18, 'domainGrade': None}, {'domainId': 424, 'domainName': '八年级物理', 'subjectId': 18, 'domainGrade': None}, {'domainId': 425, 'domainName': '九年级物理', 'subjectId': 18, 'domainGrade': None}, {'domainId': 426, 'domainName': '九年级化学', 'subjectId': 18, 'domainGrade': None}, {'domainId': 427, 'domainName': '七年级生物', 'subjectId': 18, 'domainGrade': None}, {'domainId': 428, 'domainName': '八年级生物', 'subjectId': 18, 'domainGrade': None}, {'domainId': 430, 'domainName': '七年级历史', 'subjectId': 18, 'domainGrade': None}, {'domainId': 431, 'domainName': '八年级历史', 'subjectId': 18, 'domainGrade': None}, {'domainId': 432, 'domainName': '九年级历史', 'subjectId': 18, 'domainGrade': None}, {'domainId': 433, 'domainName': '七年级地理', 'subjectId': 18, 'domainGrade': None}, {'domainId': 434, 'domainName': '八年级地理', 'subjectId': 18, 'domainGrade': None}, {'domainId': 436, 'domainName': '七年级政治', 'subjectId': 18, 'domainGrade': None}, {'domainId': 437, 'domainName': '八年级政治', 'subjectId': 18, 'domainGrade': None}, {'domainId': 438, 'domainName': '九年级政治', 'subjectId': 18, 'domainGrade': None}, {'domainId': 439, 'domainName': '初中信息技术', 'subjectId': 18, 'domainGrade': None}, {'domainId': 467, 'domainName': '七年级英语', 'subjectId': 18, 'domainGrade': None}, {'domainId': 468, 'domainName': '八年级英语', 'subjectId': 18, 'domainGrade': None}, {'domainId': 469, 'domainName': '九年级英语', 'subjectId': 18, 'domainGrade': None}]"
19,高中课程,高中课程,"[{'domainId': 440, 'domainName': '高一语文', 'subjectId': 19, 'domainGrade': None}, {'domainId': 441, 'domainName': '高二语文', 'subjectId': 19, 'domainGrade': None}, {'domainId': 442, 'domainName': '高三语文', 'subjectId': 19, 'domainGrade': None}, {'domainId': 444, 'domainName': '高中数学', 'subjectId': 19, 'domainGrade': None}, {'domainId': 446, 'domainName': '高一英语', 'subjectId': 19, 'domainGrade': None}, {'domainId': 447, 'domainName': '高二英语', 'subjectId': 19, 'domainGrade': None}, {'domainId': 448, 'domainName': '高三英语', 'subjectId': 19, 'domainGrade': None}, {'domainId': 449, 'domainName': '高一物理', 'subjectId': 19, 'domainGrade': None}, {'domainId': 450, 'domainName': '高二物理', 'subjectId': 19, 'domainGrade': None}, {'domainId': 451, 'domainName': '高三物理', 'subjectId': 19, 'domainGrade': None}, {'domainId': 452, 'domainName': '高一化学', 'subjectId': 19, 'domainGrade': None}, {'domainId': 453, 'domainName': '高二化学', 'subjectId': 19, 'domainGrade': None}, {'domainId': 454, 'domainName': '高三化学', 'subjectId': 19, 'domainGrade': None}, {'domainId': 455, 'domainName': '高一生物', 'subjectId': 19, 'domainGrade': None}, {'domainId': 456, 'domainName': '高二生物', 'subjectId': 19, 'domainGrade': None}, {'domainId': 457, 'domainName': '高三生物', 'subjectId': 19, 'domainGrade': None}, {'domainId': 458, 'domainName': '高一历史', 'subjectId': 19, 'domainGrade': None}, {'domainId': 459, 'domainName': '高二历史 ', 'subjectId': 19, 'domainGrade': None}, {'domainId': 461, 'domainName': '高一政治', 'subjectId': 19, 'domainGrade': None}, {'domainId': 462, 'domainName': '高二政治', 'subjectId': 19, 'domainGrade': None}, {'domainId': 463, 'domainName': '高三政治', 'subjectId': 19, 'domainGrade': None}, {'domainId': 464, 'domainName': '高一地理', 'subjectId': 19, 'domainGrade': None}, {'domainId': 465, 'domainName': '高二地理', 'subjectId': 19, 'domainGrade': None}, {'domainId': 466, 'domainName': '高三地理', 'subjectId': 19, 'domainGrade': None}]"
20,小学课程,小学课程,"[{'domainId': 954, 'domainName': '低年级(1-2)数学', 'subjectId': 20, 'domainGrade': None}, {'domainId': 471, 'domainName': '低年级(1-2)语文', 'subjectId': 20, 'domainGrade': None}, {'domainId': 480, 'domainName': '高年级(5-6)数学', 'subjectId': 20, 'domainGrade': None}, {'domainId': 483, 'domainName': '中年级(3-4)英语', 'subjectId': 20, 'domainGrade': None}, {'domainId': 488, 'domainName': '低年级(1-2)科学', 'subjectId': 20, 'domainGrade': None}, {'domainId': 490, 'domainName': '五年级科学', 'subjectId': 20, 'domainGrade': None}, {'domainId': 955, 'domainName': '中年级(3-4)数学', 'subjectId': 20, 'domainGrade': None}]"
21,示范课程,,"[{'domainId': 500, 'domainName': '示范课程高等数学', 'subjectId': 21, 'domainGrade': None}, {'domainId': 645, 'domainName': '电气系统', 'subjectId': 21, 'domainGrade': None}, {'domainId': 657, 'domainName': '可持续建筑', 'subjectId': 21, 'domainGrade': None}, {'domainId': 663, 'domainName': '建筑设计', 'subjectId': 21, 'domainGrade': None}, {'domainId': 671, 'domainName': '建築獎項\u200e', 'subjectId': 21, 'domainGrade': None}, {'domainId': 958, 'domainName': '工业机器人智能故障诊断及健康评估系统', 'subjectId': 21, 'domainGrade': None}]"
22,测试,测试,"[{'domainId': 504, 'domainName': '企业知识森林', 'subjectId': 22, 'domainGrade': None}]"
